Postcode,Total_daily_wateruse(BG/d),Total Wateruse 2015,Population 2015,% Growth Population (2015-2020),Population 2020,% Growth Water demand,Water Demand 2020,% Growth Population (2020-2030),Population 2030,% Growth Water demand,Water Demand 2030,% Growth Population (2030-2040),Population 2040,% Growth Water demand,Water Demand 2040,% Growth Population (2040-2050),Population 2050,% Growth Water demand,Water Demand 2050,% Growth Population (2050-2060),Population 2060,% Growth Water demand,Water Demand 2060,% Growth Population (2060-2070),Population 2070,% Growth Water demand,Water Demand 2070,% Growth Population (2070-2080),Population 2080,% Growth Water demand,Water Demand 2080,% Growth Population (2080-2090),Population 2090,% Growth Water demand,Water Demand 2090
11364,0.015689323,5.726602895,36215,3.15%,37356,3.15%,5.906990886,4.90%,39186,4.90%,6.19643344,4.90%,41106,4.90%,6.500058678,4.90%,43121,4.90%,6.818561553,4.90%,45233,4.90%,7.15267107,4.90%,47450,4.90%,7.503151952,4.90%,49775,4.90%,7.870806398,4.90%,52214,4.90%,8.256475911
11365,0.018271571,6.669123415,44738,3.15%,46147,3.15%,6.879200803,4.90%,48408,4.90%,7.216281642,4.90%,50780,4.90%,7.569879442,4.90%,53269,4.90%,7.940803535,4.90%,55879,4.90%,8.329902908,4.90%,58617,4.90%,8.738068151,4.90%,61489,4.90%,9.16623349,4.90%,64502,4.90%,9.615378931
11366,0.000999167,0.364695955,14360,3.15%,14812,3.15%,0.376183878,4.90%,15538,4.90%,0.394616888,4.90%,16300,4.90%,0.413953115,4.90%,17098,4.90%,0.434236818,4.90%,17936,4.90%,0.455514422,4.90%,18815,4.90%,0.477834628,4.90%,19737,4.90%,0.501248525,4.90%,20704,4.90%,0.525809703
11367,0.009990508,3.64653542,41207,3.15%,42505,3.15%,3.761401286,4.90%,44588,4.90%,3.945709949,4.90%,46773,4.90%,4.139049736,4.90%,49064,4.90%,4.341863173,4.90%,51469,4.90%,4.554614469,4.90%,53991,4.90%,4.777790578,4.90%,56636,4.90%,5.011902316,4.90%,59411,4.90%,5.25748553
11368,0.029383522,10.72498553,112088,3.15%,115619,3.15%,11.06282257,4.90%,121284,4.90%,11.60490088,4.90%,127227,4.90%,12.17354102,4.90%,133461,4.90%,12.77004453,4.90%,140001,4.90%,13.39577672,4.90%,146861,4.90%,14.05216977,4.90%,154057,4.90%,14.74072609,4.90%,161606,4.90%,15.46302167
11369,0.044360611,16.19162302,31481,3.15%,32473,3.15%,16.70165914,4.90%,34064,4.90%,17.52004044,4.90%,35733,4.90%,18.37852242,4.90%,37484,4.90%,19.27907002,4.90%,39321,4.90%,20.22374445,4.90%,41247,4.90%,21.21470793,4.90%,43268,4.90%,22.25422862,4.90%,45389,4.90%,23.34468582
11370,0.001938722,0.70763353,31580,3.15%,32575,3.15%,0.729923986,4.90%,34171,4.90%,0.765690262,4.90%,35845,4.90%,0.803209084,4.90%,37602,4.90%,0.842566329,4.90%,39444,4.90%,0.88385208,4.90%,41377,4.90%,0.927160832,4.90%,43404,4.90%,0.972591712,4.90%,45531,4.90%,1.020248706
11372,0.041110693,15.00540295,62854,3.15%,64834,3.15%,15.47807314,4.90%,68011,4.90%,16.23649872,4.90%,71343,4.90%,17.03208716,4.90%,74839,4.90%,17.86665943,4.90%,78506,4.90%,18.74212574,4.90%,82353,4.90%,19.6604899,4.90%,86388,4.90%,20.62385391,4.90%,90621,4.90%,21.63442275
11373,0.413429374,150.9017215,94437,3.15%,97412,3.15%,155.6551257,4.90%,102185,4.90%,163.2822269,4.90%,107192,4.90%,171.283056,4.90%,112444,4.90%,179.6759258,4.90%,117954,4.90%,188.4800461,4.90%,123734,4.90%,197.7155684,4.90%,129797,4.90%,207.4036312,4.90%,136157,4.90%,217.5664092
11374,0.035162401,12.83427637,43507,3.15%,44877,3.15%,13.23855607,4.90%,47076,4.90%,13.88724532,4.90%,49383,4.90%,14.56772034,4.90%,51803,4.90%,15.28153864,4.90%,54341,4.90%,16.03033403,4.90%,57004,4.90%,16.8158204,4.90%,59797,4.90%,17.6397956,4.90%,62727,4.90%,18.50414558
11375,0.052725136,19.24467464,73034,3.15%,75335,3.15%,19.85088189,4.90%,79026,4.90%,20.8235751,4.90%,82898,4.90%,21.84393028,4.90%,86960,4.90%,22.91428287,4.90%,91221,4.90%,24.03708273,4.90%,95691,4.90%,25.21489978,4.90%,100380,4.90%,26.45042987,4.90%,105299,4.90%,27.74650094
11377,0.021469715,7.836445975,83825,3.15%,86465,3.15%,8.083294023,4.90%,90702,4.90%,8.47937543,4.90%,95147,4.90%,8.894864826,4.90%,99809,4.90%,9.330713203,4.90%,104700,4.90%,9.78791815,4.90%,109830,4.90%,10.26752614,4.90%,115211,4.90%,10.77063492,4.90%,120857,4.90%,11.29839603
11378,0.004965332,1.81234618,38524,3.15%,39738,3.15%,1.869435085,4.90%,41685,4.90%,1.961037404,4.90%,43727,4.90%,2.057128237,4.90%,45870,4.90%,2.15792752,4.90%,48117,4.90%,2.263665969,4.90%,50475,4.90%,2.374585601,4.90%,52948,4.90%,2.490940296,4.90%,55543,4.90%,2.61299637
